D0000042509167||2021년 제1회 서대문구 보상협의회 개최 결과 보고  일시 : 2021. 4. 29.(목) ~ 5. 4.(화)  심의위원 : 서대문구 보상협의회 위원 12명  심의방법 : 서면심의  심의안건 1) 판결(부당이득금 소송)에 따른 도로사용료 납부 토지의 매입 결정 2) 도시계획시설사업 구간 외 잔여지 등의 확대보상 여부  심의결과 ❍ 심의안건 : 2건
78229_0||브라질 여행 전 황열 예방접종 및 감염 주의 당부 □ 질병관리본부는 황열은 백신접종을 통해 예방이 가능하고 1회 접종 시 평생 면역력을 획득하므로 브라질 등 황열 유행지역으로 여행하는 해외여행객은 출국 10일 전까지 반드시 백신 접종을 받을 것을 당부하였다. * 황열 백신 접종기관: 전국 5개 국립검역소 및 38개 국제공인예방접종지정의료기관 ○ 또한, 현지에서는 긴 옷을 입고 모기기피제를 사용하며, 방충망이 있는 숙소를 이용하는 등 모기에 물리지 않도록 주의하여야 하며, ○ 귀국 시 검역관에게 건강상태질문서를 제출하고 귀국 후 6일 이내에 의심증상이 생기면 의료기관에서 진료를 받으며 해외여행력을 알려줄것과 1달간 헌혈을 금지할 것을 당부하였다. □ 한편, 질병관리본부는 최근 국제공인 예방접종지정기관 확대(26개소→38개소) 운영으로 전년 대비 황열 예방접종 수요가 급증하여 2018년 1월 한 달 동안 일부 지역 내 의료기관의 경우 백신 수급관리가 원활하지 못하였으나, ○ 2월 2일부터 황열 예방백신이 순차적으로 국제공인 예방접종기관으로 배정됨으로써 예방접종에 차질이 없을 것이라고 밝히며, 예방접종 가능 기관은 ☎1339 콜센터로 문의하도록 안내하였다.
1382441_0||2017년 하반기 유료방송 가입자 수 및 시장점유율 발표 - 상반기 대비 91만 명 증가로 지속적 증가세 유지 □ 과학기술정보통신부(장관 유영민)는 종합유선방송(이하 ‘SO’), 위성방송, 인터넷멀티미디어방송(이하 ‘IPTV’)의 2017년 하반기 가입자 수 조사 ㆍ검증 및 시장점유율 산정 결과를 확정하여 공고하였다. ㅇ 이번 가입자 수 및 시장점유율은 방송법 제8조, IPTV법 제13조에 따라 특수관계자 시장점유율 합산규제*의 저촉 여부 판단에 활용된다. * 특정 유료방송 사업자는 해당 사업자와 특수관계자인 유료방송 사업자를 합산한 가입자 수가 전체 유료방송 가입자 수의 1/3을 초과하지 못함 □ 총 유료방송 가입자 수는 31,370,088명(6개월 평균)으로 집계되어 2017년 상반기 대비 91만 명이 증가하였다. ㅇ 사업자별로는 ① KT 6,339,759명(점유율 20.21%), ② SK브로드밴드 4,283,228명(13.65%), ③ CJ헬로 4,108,644명(13.10%), ④ LG유플러스 3,415,855명(10.89%), ⑤ KT스카이라이프 3,239,322명(10.33%) 순으로 집계되었으며, - 특수관계자인 KT와 KT스카이라이프를 합산한 가입자 수는 지난 2017년 상반기 대비 31만명(시장점유율 0.09%p↑) 증가한 9,579,081명으로 합산 시장점유율(30.54%)이 규제 상한선(33.33%)에 도달하지 못했다.
185418_0||환경개선으로 건강하고 살기 좋은 농어촌을 만듭니다 - 관계부처 합동 ‘농어촌 환경개선대책’ 발표 - □ 환경부, 농림축산식품부, 해양수산부는 17일 국무회의에서 관계부처합동으로 ‘농어촌 환경개선대책’을 발표했다. ○ 농어촌은 도시에 비해 맑은 공기, 높은 녹지비율 등 양호한 환경여건에도 불구하고 쓰레기, 악취 등 다양한 환경문제에 직면해있다. ○ 이 대책은 이러한 농어촌의 환경을 개선해 건강하고 깨끗한 농어촌을 조성함으로써 농어촌 주민 삶의 질을 제고하고 국민행복을 증진하기 위한 목적으로 마련됐다. □ 발표내용에 따르면, 먼저 ‘쓰레기, 가축분뇨 걱정 없는 깨끗한 농어촌’을 조성하기 위해 농어촌 폐기물 문제 해결을 집중 추진한다. ○ 이를 위해 2014년부터 2017년까지 자원순환형 마을을 50개소 지정하고, 연간 110만 명 규모로 실시중인 농업인 기술ㆍ경영 교육의 폐농자재 수거 관련 교육을 강화하며, ‘깨끗한 농어촌마을 만들기운동’을 2015년 3,000개소까지 지속적으로 확대해 실시하는 등 농어촌의 자발적 환경개선 운동을 적극적으로 지원한다. ○ 또한, 쓰레기 공동집하장 1,000개소 확충, ‘영농폐기물 집중수거기간’ 운영, 2017년 6,000톤 목표로 어항 내 폐어구 등 수거 확대 등도 집중적으로 추진한다. □ 이와 더불어, 농어촌에서 수질오염, 악취를 유발하는 원인이 되고 있는 가축분뇨의 적절히 처리할 수 있도록 지원하기 위한 다양한 정책을 추진한다. ○ 악취저감을 위한 맞춤형 무료 기술진단을 2017년 연간 100개소까지 점차 확대해 실시하고, 해당 축사에 대한 시설․운영개선 융자자금을 우선적으로 지원한다. ○ 2017년까지 가축분뇨 공공처리시설을 129개소로, 공동 퇴․액비시설은 150개소, 에너지화시설도 21개소로 확충할 계획이다. □ 둘째, ‘환경‧건강 문제로부터 안전한 농어촌’을 위해 농어촌 상하수도를 대폭 확충하여 2017년까지 향후 5년간 약 131만 명을 대상으로 안심할 수 있는 먹는물 급수혜택을 확대해나간다. ○ 이를 위해 환경부는 2017년까지 송․급수관 7,906km, 취․정수시설 72개소, 배수지 208개소 등을 확충해 농어촌 주민 81만 명에게 깨끗한 수돗물을 신규 공급하며 상수도 보급률 80%를 달성할 계획이다. - 상수도 미보급지역의 지하수 이용가구를 위해서는 연차별로 총25만 가구, 50만명을 대상으로 실태조사를 실시하며 안전한 먹는물 공급 및 관리 방안을 마련한다.
47522_4||식품 기능성 표시제도 개선의 쟁점과 입법･정책과제 Ⅱ 제도 개선 경과와 쟁점 2. 개선 논의 경과 <제도개선 내용(안)> 〇 건강기능식품이 아닌 일반식품도 섭취를 통해 기대할 수 있는 건강상의 이익 표시 - 법적근거: 「식품 등의 표시･광고에 관한 법률 시행령」 별표1. 제3호 가, 나 【「식품 등의 표시･광고에 관한 법률 시행령」 별표 1. 제3호】 3. 건강기능식품이 아닌 것을 건강기능식품으로 인식할 우려가 있는 표시 또는 광고: 「건강기능식품에 관한 법률」 제3조 제2호에 따른 기능성이 있는 것으로 표현하는 표시･광고. 다만, 다음 각 목의 어느 하나에 해당하는 표시･광고는 제외한다. 가. 「건강기능식품에 관한 법률」 제14조에 따른 건강기능식품의 기준 및 규격에서 정한 영양성분의 기능 및 함량을 나타내는 표시･광고 나. 제품에 함유된 영양성분이나 원재료가 신체조직과 기능의 증진에 도움을 줄수 있다는 내용으로서 식품의약품안전처장이 정하여 고시하는 내용의 표시･광고 〇 건강기능식품이 아닌 일반식품도 섭취를 통해 기대할 수 있는 건강상의 이익 표시 - 법적근거 : 「식품 등의 표시･광고에 관한 법률 시행령」 별표 1. 제3호 가, 나 - 표시조건(세부 내용은 민관합동T/F에서 마련 : ‘19.12고시 시행 예정) - 표시 가능한 기능성: 영양소기능 및 생리활성기능 영양소 기능(3호 가) : 인체의 성장･증진 및 정상적인 기능에 대한 영양소의 생리학적 작용에 관한 기능 생리활성기능(3호 나) : 인체의 정상기능이나 생물학적 활동에 특별한 효과가 있어 건강상의 기여나 기능향상 또는 건강유지･개선에 관한 기능 - 과학적 근거는 CODEX 가이드라인에 따라 기업이 기능성을 확인 - 원료와 기능성의 관계는 인체적용시험을 바탕으로 한 자료로 증명 - 정부가 기능성을 심사한 것은 아니라는 Disclaimer표시
879190_2||4대강 보 개방 1년 중간결과 및 향후계획 발표 < 모니터링 중간결과 > □ 지난 1년간 수질‧수생태계 등 11개 분야 모니터링을 진행한 결과, 물 흐름이 회복되어 藻類 농도가 감소하고 모래톱이 회복되는 등 동식물의 서식환경이 개선되어 4대강 자연성 회복의 가능성을 확인할 수 있었습니다. ㅇ 수질의 경우, 보 개방 이후 개방 폭이 큰 보를 중심으로 조류 농도가 유의미하게 감소했습니다. 보 수문을 완전히 개방한 세종보, 공주보에서는 조류농도(클로로필 a)가 개방 전에 비해 약 40% 감소한 것으로 나타났습니다. 영산강 승촌보도 지난 4월 완전개방 이후 조류농도가 37% 감소했습니다. ㅇ 다만, 최대 개방 보를 중심으로 생물화학적산소요구량(BOD), 총인(T-P) 등은 증가하는 경향을 보였는데, 최대 개방한 세종보는 예년대비 많은 강우량으로 인한 유입지천의 비점오염원이 증가한 영향을 받는 것으로 보인다는 전문가 의견이 있었습니다. - 승촌보와 공주보는 보 개방에 따른 유속 증가로 하천 바닥에 쌓여있던 퇴적물이 재부유하면서 나타나는 과도기적 현상인지를 확인하기 위해 향후 장마철을 포함하여 개방기간과 개방 폭을 확대하여 모니터링할 필요가 있다는 전문가의 의견이 제기되었습니다. ㅇ 생태계의 경우, 보 수위를 완전개방한 세종보, 승촌보 구간에서 여울과 하중도가 생성되고, 수변생태공간이 넓어지는 등 동식물의 서식환경이 개선된 것으로 나타났습니다. - 이로 인해 승촌보에서는 보 개방 후 노랑부리저어새(멸종위기 Ⅱ급)개체수가 증가하였고 세종보 상류에서는 독수리(멸종위기 Ⅱ급)가 처음 관찰되기도 하였습니다. - 생물 서식처로 기능하는 모래톱은 증가한 반면, 악취 및 경관훼손 우려가 컸던 노출 퇴적물은 식생이 자라나면서 빠른 속도로 변화되고 있습니다.
DOM_0000000002712521_35||실・국장회의 2021. 6. 7.(월) 14:00, 온나라PC영상회의 6월 업무추진계획 7 복지국 주요정책/현안대응  취약계층 돌봄인력 마스크 구매 지원계획(6월중) ○ 지급인원 : 55,823명(요양보호사, 장애인․노인돌봄지원사, 보육교사 등) ○ 지급수량 : 4,465,840매(1인당 80매) ○ 예산 : 1,774,000천원(전액국비) ○ 향후계획 : 집행잔액 활용 2차 추가지급 * 1차 지출액(1,346,752천원), 2차 지출예정액(427,248천원)  인천형 지역사회 통합돌봄 모델 개발 분과위원회 운영 ○ 기간 : 5월 ~ 개발 완료시 까지(수시개최) ○ 운영분과 : 노인(6), 장애인(5), 아동(6), 지역사회(4) ○ 구성 : 민간 전문가, 복지 관련 협회장, 공무원 등 ○ 역할 : 인천형 지역사회 통합돌봄 모델 개발 연구정책 선정·발굴
1265005_11||유통, 영화, 사물인터넷의 중심, 부산창조경제혁신센터 출범  부산창조경제혁신센터 주요기능  혁신상품 가치제고와 유통산업 혁신거점으로 육성하겠습니다.  ② 전국 창조경제혁신센터를 통해 사업화에 성공한 제품 중 혁신 상품에 대해서는 롯데의 유통망과 정부의 공영홈쇼핑을 통해 판로개척을 집중 지원하는 ‘혁신상품 인증제’를 시행(금년6월) * 혁신상품 : 전국혁신센터의 공모를 통해 선정된 아이디어 및 상품을 센터의 지원으로 개선하여 가치가 제고된 상품 - 혁신상품의 판로지원을 위해 롯데 백화점 3개소, 마트 1개소에 전용 매장을 운영하고 온라인 전용섹션을 올해 말까지 구축·운영하고 - 중기청이 금년 7월 오픈예정인 공영 홈쇼핑 중심의 통합 유통 플랫폼과 연계하여 판로개척을 지원할 계획임 - 혁신상품 인증제는 정부 또는 지자체가 주도하는 기존의 인증제와 달리 창조경제혁신센터와 민간기업이 주도하여 인증상품의 선정, 판로지원을 추진 ‣ 유통혁신을 위한 신유통 모델개발 및 스타트업 육성
1062300_0||노후 경유차 환경개선부담금 징수제도 보완한다 □ 체납 부담금에 대한 징수제도 보완과 함께 납부자의 편의를 도모하는 등 환경개선부담금 징수율 제고를 위한 다양한 조치가 함께 추진된다. ○ 일시납부 기간을 자동차세 일시납부 기간과 일치시킴으로써 환경개선부담금 일시납부 및 이에 따른 감면*에 대한 인지도를 높여보다 많은 납부자들이 감면혜택을 받을 수 있도록 했다. * 1월 일시납부 시 연 부과금액의 10% 감면, 3월 일시납부 시 약 5% 감면 ○ 또한, 환경개선부담금을 신용카드 등으로 납부할 수 있는 근거 규정도 마련했다. □ 아울러, 국세 및 지방세 관련법에서 규정하고 있는 제2차납부의무*및 연대납부의무**를 환경개선부담금에 도입하여, 청산하는 법인에 대해서도 체납처분 집행이 가능하도록 했다. * 부족한 징수금에 대해 납부의무자 이외의 제3자(비상장법인이 납부불능일 때 무한책임사원 또는 과점주주 등)에게 보충적으로 납부의무 부과 ** 공유물에 대하여는 미납분에 대해 모든 공유자가 공동으로 연대하여 납부 □ *** 환경부 환경경제정책관은 “이번에 시행되는 법령 개정을 통해 납부 편의 확대로 환경개선부담금 징수율을 높이고 부담금 납부의 형평성을 향상시킬 수 있을 것으로 기대된다”라고 말했다.
44333_1||소상공인시장진흥공단 출범식 갖고 새롭게 출발 - 8일, 대전 중구 대흥동 소재 공단 사옥서 출범식 개최 - □ 또한, 최근 화두가 되고 있는 공공기관의 경영혁신과 관련하여서는 지난 2일 취임한 이일규 초대 이사장은 취임사를 통해, ㅇ 조직과 인사혁신을 통해 공단의 전문적인 역량을 극대화하고, 국민과 소상공인에게 봉사한다는 자세로 국민으로부터 사랑받는 기관으로 자리매김하도록 최선을 다하고,  ㅇ 내부비리 신고시스템 활성화, 청렴지킴이 도입 등을 통한 청렴도 제고, 고객만족도 개선활동 지속 전개, 화합과 소통의 노사문화 정착 등을 통해 사회적 책임을 실천하는 공공기관으로서의 위상을 정립해 나가겠다고 밝혔음
21328_0||보건의료 자원강국을 향한 도약, 국가관리 병원체자원 1만주 돌파 □ 질병관리본부 국립보건연구원 국가병원체자원은행(NCCP, National Culture Collection for Pathogens)은 「2012년 국가병원체자원은행 연보」(2013. 7. 30. 발간)에서 국가에서 관리하는 인체유래 병원체자원의 수가 2012년을 기점으로 1만주를 넘어선 것으로 보고하였다. ○ 국가병원체자원은행 연보는 국가 병원체자원의 수집 및 관리현황에 대한 정보를 제공함으로써, - 나고야의정서 발효에 대비하여 병원체자원의 국적을 명확히 하고, 국내 보건의료 연구자들의 감염병 연구를 지원하고자 매년 발간하고 있다. □ 2012년 국가병원체자원은행 연보에 따르면, ○ 세균자원의 등록과 함께 인체유래 바이러스 및 진균, 감염병 관련 파생자원에 대한 국가자원 등록건수가 2011년 이후 급격히 증가였고, 등록자원의 공개분양으로 진균, 바이러스 및 파생자원의 분양건수 또한 증가하고 있는 것으로 나타났다. ○ 국가병원체자원은행이 보유·관리하고 있는 자원은 2013년 7월 현재총 11,631주(중앙은행과 거점은행의 등록자원과 후보자원 포함)이며, - 매년 약 2,000주의 병원체자원을 일반 연구자에게 분양하고 있는 것으로 보고되었다. ○ 또한 국가병원체자원은행은 인플루엔자 국가표준품 및 국가표준시험법에 적용할 참조균주를 개발하는 등 보건의료분야 국가인프라 구축 및 고품질 자원 개발에 중점을 두고 있는 것으로 나타났다.
